s,a,r,sp
90,1,0,80
80,4,0,79
79,5,0,79
79,5,0,79
79,4,0,78
78,1,0,68
68,2,0,69
69,1,0,59
59,1,0,49
49,3,0,59
59,4,0,58
58,2,0,59
59,2,0,60
60,2,0,60
60,5,0,60
60,3,0,70
70,3,0,80
80,2,0,80
80,5,0,80
80,5,0,80
80,1,0,70
70,2,0,70
70,1,0,60
60,1,0,50
50,3,0,60
60,1,0,50
50,5,0,50
50,2,0,50
50,3,0,60
60,3,0,70
70,4,0,69
69,4,0,68
68,1,0,58
58,3,0,68
68,5,0,68
68,4,0,67
67,5,0,67
67,1,0,57
57,4,0,56
56,4,0,55
55,4,0,54
54,5,0,54
54,3,0,64
64,5,0,64
64,1,0,54
54,1,0,44
44,3,0,54
54,3,0,64
64,1,0,54
54,4,0,53
53,4,0,52
52,4,0,51
51,2,0,52
52,1,0,42
42,1,0,32
32,1,0,22
22,3,0,32
32,5,0,32
32,4,0,31
31,1,0,21
21,3,0,31
31,5,0,31
31,5,0,31
31,1,0,21
21,3,0,31
31,1,0,21
21,4,0,21
21,1,0,11
11,5,0,11
11,5,0,11
11,3,0,21
21,5,0,21
21,4,0,21
21,4,0,21
21,5,0,21
21,2,0,22
22,3,0,32
32,3,0,42
42,5,0,42
42,2,0,43
43,2,0,44
44,2,0,45
45,3,0,55
55,3,0,65
65,4,0,64
64,5,0,64
64,4,0,63
63,1,0,53
53,2,0,54
54,1,0,44
44,1,0,34
34,3,0,44
44,1,0,34
34,5,0,34
34,3,0,44
44,3,0,54
54,5,0,54
54,4,0,53
53,4,0,52
52,4,0,51
51,4,0,51
51,5,0,51
51,3,0,61
61,5,0,61
61,2,0,62
62,1,0,52
52,5,0,52
52,5,0,52
52,1,0,42
42,5,0,42
42,1,0,32
32,5,0,32
32,1,0,22
22,4,0,21
21,2,0,22
22,2,0,23
23,1,0,13
13,2,0,14
14,5,0,14
14,4,0,13
13,1,0,3
3,3,0,13
13,4,0,12
12,1,0,2
2,5,0,2
2,4,0,1
1,5,0,1
1,4,0,1
1,4,0,1
1,1,0,1
1,5,0,1
1,4,0,1
1,3,0,11
11,2,0,12
12,2,0,13
13,2,0,14
14,5,0,14
14,3,0,24
24,1,0,14
14,3,0,24
24,2,0,25
25,2,0,26
26,4,0,25
25,2,0,26
26,2,0,27
27,2,0,28
28,1,0,18
18,1,0,8
8,4,0,7
7,3,0,17
17,3,0,27
27,5,0,27
27,2,0,28
28,2,0,29
29,5,0,29
29,3,0,39
39,5,0,39
39,4,0,38
38,3,0,48
48,1,0,38
38,3,0,48
48,5,0,48
48,3,0,58
58,1,0,48
48,2,0,49
49,3,0,59
59,3,0,69
69,5,0,69
69,2,0,70
70,1,0,60
60,1,0,50
50,1,0,40
40,4,0,39
39,2,0,40
40,3,0,50
50,1,0,40
40,5,0,40
40,5,0,40
40,3,0,50
50,2,0,50
50,3,0,60
60,2,0,60
60,3,0,70
70,4,0,69
69,2,0,70
70,3,0,80
80,3,0,90
90,4,0,89
89,1,0,79
79,5,0,79
